,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
77,2,0,1,2,1,0,1,64,2018,6,27,1,0,0,0,111.9,1,0
78,3,0,2,5,1,0,4,155,2018,6,28,1,0,0,0,121.55,2,1
79,2,0,0,5,1,0,1,46,2018,3,29,0,0,0,0,75.0,1,0
80,2,2,0,2,1,0,6,83,2018,4,1,1,0,0,0,159.3,0,1
81,2,0,0,5,1,0,4,128,2018,10,11,1,0,0,0,132.3,0,1
82,2,0,2,0,0,0,1,20,2018,12,25,1,0,0,0,88.0,2,0
83,2,0,1,4,1,0,4,40,2018,3,14,1,0,0,0,98.82,0,0
84,2,0,1,2,1,1,4,46,2018,3,4,1,0,0,0,98.3,1,0
85,1,0,1,0,1,0,1,1,2018,10,17,1,0,0,0,150.0,2,0
86,2,0,2,3,0,0,1,196,2018,9,4,1,0,0,0,96.05,1,0
87,1,0,0,2,1,0,1,188,2018,6,15,1,0,0,0,130.0,0,1
88,2,0,0,1,0,0,1,17,2018,12,10,1,1,0,5,95.0,0,0
89,2,0,0,3,1,0,5,146,2018,8,9,0,0,0,0,113.56,0,0
90,2,0,1,3,0,0,1,110,2018,5,5,1,0,0,0,101.58,1,0
91,2,0,1,2,1,1,1,68,2018,3,18,1,0,0,0,105.3,0,0
92,2,0,2,1,1,0,4,73,2018,4,9,1,0,0,0,115.8,1,0
93,2,0,0,1,1,0,4,92,2018,5,19,1,0,0,0,149.4,1,0
94,2,0,2,5,1,0,1,171,2018,8,30,1,0,0,0,111.59,0,1
95,2,1,0,2,1,1,1,134,2018,8,4,1,0,0,0,130.5,2,0
96,2,0,0,2,2,0,1,320,2018,8,18,1,0,0,0,115.0,1,1
97,2,0,0,4,1,0,1,118,2018,4,13,1,0,0,0,90.95,1,0
98,2,0,0,3,1,0,1,30,2018,11,17,1,0,0,0,76.08,1,0
99,2,2,1,3,1,0,6,30,2018,12,22,1,0,0,0,156.9,0,0
100,2,0,1,0,0,0,1,189,2018,10,23,1,0,0,0,85.5,2,0
101,3,0,1,2,1,0,4,55,2018,5,13,1,0,0,0,159.3,2,0
102,1,0,0,4,1,0,1,55,2018,12,13,1,0,0,0,74.8,2,0
103,2,0,0,1,1,0,1,16,2017,10,31,1,0,0,0,95.0,1,0
104,2,0,0,3,1,0,1,24,2017,10,8,1,0,0,0,107.0,1,0
105,2,0,0,3,1,0,1,8,2018,2,16,0,0,0,0,64.0,0,0
106,2,0,1,4,1,1,1,10,2017,11,2,1,0,0,0,82.95,0,0
107,2,0,1,3,1,0,4,0,2017,9,21,1,0,0,0,155.0,1,0
108,2,0,0,1,0,0,1,12,2018,6,30,1,0,0,0,101.68,1,0
109,2,0,2,1,1,0,1,32,2017,9,5,1,0,0,0,94.5,3,0
110,2,0,0,2,1,0,1,182,2018,9,30,1,0,0,0,117.9,2,1
111,2,0,1,0,0,0,1,1,2018,6,27,1,0,0,0,127.0,1,0
112,2,0,0,3,0,0,1,122,2018,6,16,1,0,0,0,116.1,2,0
113,2,0,2,3,1,0,1,40,2018,6,30,1,0,0,0,117.9,1,0
114,2,2,2,2,1,0,2,116,2018,6,26,1,0,0,0,184.24,1,1
115,3,0,2,2,1,1,4,123,2018,8,13,1,0,0,0,155.7,1,0
116,3,0,2,5,1,0,4,40,2018,4,22,1,0,0,0,135.76,0,1
117,2,1,2,5,1,0,1,105,2018,11,12,1,0,0,0,102.83,3,0
118,2,0,0,1,1,0,1,443,2018,4,29,1,0,0,0,65.0,0,1
119,2,0,2,3,1,0,1,2,2017,11,14,1,0,0,0,103.0,1,0
120,2,0,0,3,1,0,1,317,2018,9,1,1,0,0,0,106.2,1,1
121,2,0,0,2,2,0,1,286,2018,9,16,0,0,0,0,58.5,0,0
122,2,0,1,3,1,0,1,68,2018,3,10,1,0,0,0,73.95,0,1
123,2,0,0,3,1,0,1,148,2018,5,5,1,0,0,0,105.3,0,0
124,3,0,2,0,1,0,4,68,2018,4,24,1,0,0,0,133.2,2,0
125,2,0,0,2,1,0,1,30,2018,3,30,0,0,0,0,85.5,0,0
126,1,0,0,1,1,0,1,14,2018,11,3,1,0,0,0,112.0,1,1
127,2,2,0,2,1,0,6,110,2018,10,14,1,0,0,0,190.8,0,1
128,1,0,2,3,1,0,1,117,2018,6,5,0,0,0,0,110.0,0,0
129,2,0,1,4,1,0,4,85,2018,7,13,1,0,0,0,91.48,1,0
130,2,0,0,2,0,0,1,1,2018,10,20,1,0,0,0,135.0,2,0
131,1,0,1,2,1,0,1,25,2018,10,17,1,0,0,0,129.0,2,0
132,2,0,2,4,0,0,1,289,2018,12,28,1,0,0,0,70.55,2,1
133,2,0,1,4,1,0,4,28,2017,10,19,0,0,0,0,75.0,0,0
134,1,0,0,4,0,0,1,80,2018,3,29,1,0,0,0,72.25,0,0
135,2,0,0,1,1,0,4,11,2017,10,9,1,0,0,0,155.0,2,0
136,2,1,1,0,1,0,1,162,2018,7,25,1,0,0,0,121.5,2,1
137,2,0,2,5,1,0,1,155,2018,6,28,1,0,0,0,90.95,2,0
138,1,0,2,2,1,0,1,82,2018,5,22,1,0,0,0,109.65,0,0
139,3,0,2,4,1,0,4,27,2018,4,15,1,0,0,0,142.72,0,1
140,1,0,1,2,1,0,1,13,2018,5,9,0,0,0,0,90.0,0,0
141,2,0,0,2,1,0,1,245,2018,6,17,1,0,0,0,75.0,0,1
142,2,0,0,2,1,0,1,11,2018,11,18,1,0,0,0,111.0,1,1
143,2,0,2,2,1,0,1,266,2018,10,30,1,0,0,0,86.7,2,0
144,2,0,1,0,1,0,1,39,2018,3,28,1,0,0,0,117.9,1,0
145,1,0,0,2,1,0,1,13,2018,6,1,4,1,3,5,0.0,1,0
146,2,0,0,4,0,0,1,112,2018,5,4,1,0,0,0,101.58,1,0
147,2,0,1,2,0,0,1,88,2018,4,8,1,0,0,0,58.9,1,0
148,2,0,0,1,1,0,1,56,2018,6,8,0,0,0,0,120.0,0,0
149,2,0,2,3,1,0,4,73,2018,4,7,1,0,0,0,107.1,0,1
150,2,0,1,1,1,0,1,80,2018,5,2,1,0,0,0,126.9,1,0
151,2,0,0,3,1,0,4,130,2018,9,29,1,0,0,0,139.5,2,1
152,2,0,1,3,0,0,1,69,2018,4,4,1,0,0,0,80.75,1,0
153,2,0,0,2,2,0,1,273,2017,7,17,1,0,0,0,109.0,0,1
154,2,0,0,1,2,0,1,55,2018,4,6,0,0,0,0,104.0,0,0
155,1,0,0,3,1,0,1,4,2018,11,1,2,1,1,5,65.0,1,0
156,2,0,0,3,1,0,4,97,2018,5,24,1,0,0,0,140.4,0,0
157,2,0,0,3,1,0,1,44,2018,2,17,0,0,0,0,75.0,0,0
158,2,0,0,1,0,0,1,31,2018,4,14,1,0,0,0,94.5,0,1
159,2,0,1,0,0,0,1,0,2018,6,5,1,0,0,0,109.0,0,0
160,2,0,2,2,1,0,1,62,2018,11,12,1,0,0,0,105.0,2,0
161,2,0,2,2,1,0,4,86,2018,4,17,1,0,0,0,107.95,1,0
162,3,0,2,2,1,0,7,3,2018,10,7,1,0,0,0,215.6,1,0
163,2,0,1,1,0,0,1,197,2018,8,1,1,0,0,0,85.5,1,0
164,2,0,0,2,1,0,1,143,2018,7,12,1,0,0,0,105.3,2,0
165,1,0,2,1,2,0,1,23,2018,1,2,1,0,0,0,1.0,0,0
166,2,0,0,2,1,0,4,8,2018,6,15,1,0,0,0,156.0,0,1
167,1,0,0,2,1,0,1,13,2018,11,16,1,0,0,0,73.15,1,0
168,2,0,1,2,1,0,1,280,2018,9,19,1,0,0,0,110.0,0,1
169,2,1,1,0,0,0,1,11,2017,9,13,1,0,0,0,87.4,1,0
170,2,0,0,2,1,0,1,317,2018,9,15,1,0,0,0,120.0,0,1
171,2,0,1,2,0,0,1,185,2018,12,16,1,0,0,0,79.2,0,1
172,2,0,1,3,1,0,1,160,2018,6,30,1,0,0,0,90.95,1,0
173,2,0,0,4,1,0,1,104,2018,10,18,1,0,0,0,91.48,1,0
174,2,1,0,1,1,0,1,11,2018,11,5,1,0,0,0,150.0,1,1
175,2,0,0,1,0,0,1,2,2018,3,22,1,0,0,0,89.0,0,0
176,2,0,1,4,0,0,1,14,2018,8,17,1,0,0,0,91.43,1,0
177,2,0,0,2,1,0,1,22,2018,5,20,0,0,0,0,140.0,0,0
178,1,1,2,5,0,0,1,37,2017,10,24,1,0,0,0,87.78,0,0
179,2,0,0,2,2,0,1,292,2018,7,21,1,0,0,0,115.0,0,1
180,2,0,0,3,1,0,1,11,2017,9,9,1,0,0,0,80.85,1,0
181,2,0,1,3,1,0,1,86,2018,3,31,1,0,0,0,82.45,1,0
182,2,0,0,1,0,0,1,109,2018,10,11,1,0,0,0,108.0,0,1
183,2,0,1,1,1,0,4,72,2018,4,2,1,0,0,0,96.3,1,0
184,2,0,1,5,1,0,1,196,2018,8,22,1,0,0,0,99.45,0,1
185,2,0,0,2,1,0,4,56,2018,5,13,1,0,0,0,140.4,1,0
186,2,0,1,3,1,0,1,189,2018,8,8,0,0,0,0,72.25,0,0
187,2,0,1,4,1,0,4,126,2018,8,15,1,0,0,0,126.0,0,0
188,2,0,2,3,1,0,1,303,2018,8,19,1,0,0,0,78.0,0,1
189,1,0,2,2,1,0,4,81,2018,11,6,1,0,0,0,146.6,1,0
190,2,0,1,2,1,0,1,54,2018,10,10,1,0,0,0,118.8,0,1
191,1,0,0,1,1,0,1,15,2018,10,6,1,0,0,0,145.0,0,1
192,2,0,0,4,1,0,1,86,2018,4,6,1,0,0,0,84.58,0,1
193,2,0,1,2,2,0,1,161,2018,3,25,1,0,0,0,130.0,0,1
194,2,0,4,10,1,0,4,147,2018,8,3,1,0,0,0,118.88,1,1
195,2,0,1,2,1,0,1,92,2018,5,30,0,0,0,0,101.52,0,0
196,2,0,0,1,1,0,1,87,2017,9,11,2,0,0,0,100.0,0,1
197,2,0,2,1,1,0,1,109,2018,3,20,0,0,0,0,58.0,0,0
198,2,0,0,4,1,0,1,127,2018,3,23,0,0,0,0,61.5,2,0
199,2,0,1,2,2,0,1,418,2018,9,26,1,0,0,0,107.0,0,1
200,2,0,1,4,0,0,1,156,2018,8,24,1,0,0,0,87.3,1,0
201,2,0,0,2,1,0,1,80,2017,7,16,1,0,0,0,76.5,1,1
202,2,0,2,2,0,0,1,211,2018,12,16,1,0,0,0,63.75,0,1
203,2,0,1,2,1,0,1,273,2018,5,13,1,0,0,0,95.0,0,1
204,2,0,2,1,1,0,1,58,2018,11,19,0,0,0,0,75.0,1,0
205,2,0,0,3,1,0,1,433,2018,9,8,1,0,0,0,70.0,0,1
206,2,0,1,3,1,0,1,111,2018,5,2,1,0,0,0,101.58,1,0
207,2,0,2,3,1,0,1,34,2018,8,21,0,0,0,0,85.0,0,0
208,2,0,2,4,1,0,1,17,2018,12,3,1,0,0,0,98.39,0,0
209,1,0,0,0,1,0,1,4,2018,2,27,4,0,0,0,0.0,1,0
210,2,0,0,3,1,0,1,6,2017,9,22,1,0,0,0,106.07,1,0
211,2,0,1,1,1,0,1,32,2018,7,18,0,0,0,0,105.0,1,0
212,2,0,0,1,1,0,1,4,2017,9,22,1,0,0,0,145.0,2,0
213,3,0,2,1,1,0,1,195,2018,8,13,1,0,0,0,106.03,1,1
214,2,0,2,2,1,0,1,119,2018,8,13,1,0,0,0,114.3,1,0
215,1,0,1,1,0,0,1,13,2018,12,5,1,0,0,0,88.0,0,0
216,2,0,0,2,1,0,1,59,2017,10,15,1,0,0,0,89.25,2,0
217,2,1,2,5,1,0,4,78,2018,3,20,1,0,0,0,86.32,1,0
218,2,0,0,3,1,0,1,335,2018,10,13,0,0,0,0,90.0,1,0
219,2,0,2,5,1,0,1,103,2017,8,22,1,0,0,0,55.96,0,0
220,1,0,0,2,0,0,1,0,2018,6,8,1,0,0,0,109.0,1,0
221,2,0,0,1,1,0,1,118,2018,3,1,0,0,0,0,86.0,0,0
222,2,0,1,5,1,0,1,56,2018,9,5,1,0,0,0,118.95,0,0
223,2,0,0,2,1,0,1,107,2018,6,10,0,0,0,0,130.0,1,0
224,2,0,1,3,0,0,1,70,2018,4,14,1,0,0,0,90.56,1,0
225,2,0,0,2,1,0,1,76,2018,4,1,1,0,0,0,87.3,1,0
226,2,2,2,2,1,0,6,144,2018,5,27,1,0,0,0,177.65,1,1
227,1,2,2,2,1,0,6,4,2017,9,19,1,0,0,0,200.75,2,0
228,2,1,0,2,1,0,1,15,2018,3,18,1,0,0,0,127.0,1,0
229,1,0,1,2,1,0,1,32,2018,2,5,1,0,0,0,72.9,0,1
230,3,0,1,1,1,0,4,49,2018,5,7,1,0,0,0,159.3,0,1
231,2,1,1,3,1,0,1,77,2018,5,12,1,0,0,0,135.15,1,0
232,1,0,0,2,1,0,1,22,2018,10,28,0,0,0,0,90.0,0,0
233,2,0,1,0,0,0,1,0,2017,10,18,1,0,0,0,114.0,0,0
234,2,1,0,1,1,1,1,58,2018,6,21,1,0,0,0,125.1,1,0
235,2,0,2,6,0,0,1,4,2017,8,14,1,0,0,0,95.13,1,0
236,2,0,0,2,1,0,5,117,2018,4,29,1,0,0,0,105.84,0,1
237,2,0,1,3,1,0,1,36,2018,12,26,1,0,0,0,102.0,0,1
238,2,0,2,2,0,0,1,35,2018,12,2,1,0,0,0,74.8,2,0
239,2,0,1,0,0,0,1,31,2018,4,24,1,0,0,0,94.5,0,1
240,2,0,2,4,0,0,1,79,2018,6,16,1,0,0,0,120.6,0,0
241,2,0,1,2,1,0,1,1,2017,10,9,1,0,0,0,139.33,0,0
242,2,0,0,2,1,0,1,21,2017,9,3,1,0,0,0,105.0,0,0
243,2,0,0,2,0,0,1,12,2018,9,14,2,0,0,0,100.0,1,0
244,2,0,1,0,1,0,1,33,2018,2,8,1,0,0,0,80.3,1,0
245,1,0,0,2,1,0,1,164,2017,10,2,0,0,0,0,100.0,0,0
246,2,0,0,3,1,1,1,78,2018,3,24,1,0,0,0,105.3,1,0
247,2,0,0,4,1,0,4,18,2018,5,31,1,0,0,0,112.8,0,1
248,2,0,1,2,1,0,1,21,2018,8,15,1,0,0,0,151.0,0,1
249,1,0,1,3,1,0,1,0,2017,11,9,1,0,0,0,91.0,1,0
250,3,0,2,1,1,0,4,152,2018,8,13,1,0,0,0,146.7,1,1
251,2,0,2,3,1,0,1,43,2017,10,2,0,0,0,0,58.4,0,0
252,2,0,0,4,0,0,1,177,2018,7,26,1,0,0,0,80.75,1,1
253,2,0,1,1,0,0,1,47,2018,5,21,0,0,0,0,76.5,0,0
254,3,0,0,3,1,0,4,57,2018,9,7,1,0,0,0,140.13,0,0
255,2,0,2,4,0,0,1,60,2017,11,15,1,0,0,0,76.0,1,0
256,2,0,0,1,1,0,1,0,2017,9,16,1,0,0,0,200.0,0,0
257,2,0,0,2,2,0,1,102,2017,10,16,1,0,0,0,101.5,0,1
258,2,0,0,3,0,0,1,71,2018,10,18,1,0,0,0,108.0,1,0
259,3,0,2,3,2,0,4,111,2018,7,23,1,0,0,0,189.0,1,0
260,3,0,1,1,1,0,4,1,2018,6,11,1,0,0,0,166.0,3,0
261,2,0,1,1,0,0,1,4,2018,1,16,1,0,0,0,67.5,0,0
262,2,0,1,3,1,0,4,25,2017,9,14,1,0,0,0,78.54,1,0
263,1,0,2,2,1,0,1,209,2018,11,6,1,0,0,0,152.1,1,1
264,1,0,2,1,1,0,1,93,2018,10,15,1,0,0,0,115.0,0,1
265,2,0,2,5,0,0,1,53,2017,9,2,1,0,0,0,66.53,2,0
266,1,0,0,2,1,0,1,1,2017,8,12,4,1,0,1,0.0,1,0
267,1,0,2,1,1,0,1,4,2017,8,23,4,0,0,0,0.0,1,0
268,2,0,0,3,1,0,1,302,2018,12,29,1,0,0,0,90.3,2,1
269,2,0,0,2,1,0,1,122,2018,4,15,0,0,0,0,85.0,0,0
270,1,0,0,1,1,0,1,16,2018,3,11,2,0,0,0,75.0,0,0
271,2,0,2,4,1,0,1,28,2018,8,28,1,0,0,0,115.37,1,1
272,2,0,1,2,2,0,1,161,2018,3,25,1,0,0,0,130.0,0,1
273,3,0,0,2,1,0,4,57,2018,12,9,1,0,0,0,126.0,2,0
274,2,0,1,0,1,0,1,19,2018,6,12,1,0,0,0,94.35,1,0
275,3,0,2,4,1,0,4,109,2018,7,6,1,0,0,0,118.46,4,0
276,1,0,0,2,2,0,1,239,2018,6,15,1,0,0,0,90.6,0,1
277,1,0,2,1,1,0,1,33,2018,3,5,1,0,0,0,82.9,2,0
278,2,0,0,3,1,0,1,11,2017,8,18,1,0,0,0,95.33,1,0
279,3,0,2,5,1,0,4,40,2018,4,21,1,0,0,0,135.64,1,0
280,3,0,1,1,1,0,4,45,2018,6,18,0,0,0,0,122.4,0,0
281,2,0,1,3,0,0,1,41,2018,5,9,1,0,0,0,116.1,0,1
282,2,0,0,4,0,0,1,167,2018,6,28,1,0,0,0,62.18,0,1
283,2,0,0,4,0,0,1,62,2018,3,9,1,0,0,0,63.75,0,1
284,1,0,1,4,1,0,1,113,2018,9,7,1,0,0,0,118.8,0,1
285,2,0,0,2,0,1,1,1,2018,8,10,1,0,0,0,167.0,0,0
286,2,2,2,2,1,0,6,84,2018,5,13,1,0,0,0,187.85,1,0
287,0,2,2,2,1,0,1,68,2018,4,24,1,0,0,0,108.38,1,1
288,2,0,0,1,1,0,2,9,2018,9,7,4,1,0,3,0.0,1,0
289,3,0,1,2,1,0,1,245,2018,10,28,1,0,0,0,128.7,0,1
290,2,0,1,3,1,0,1,80,2018,3,17,1,0,0,0,80.33,1,0
291,2,0,1,1,1,0,1,7,2018,8,22,1,0,0,0,140.0,1,1
292,2,1,1,1,1,0,1,128,2017,8,8,1,0,0,0,76.5,2,0
293,2,0,2,1,1,0,1,100,2018,5,1,1,0,0,0,105.3,1,0
294,2,0,2,1,1,0,1,118,2018,4,3,1,0,0,0,87.3,1,1
295,1,0,0,3,1,0,1,166,2018,11,1,1,0,0,0,110.0,0,1
296,1,0,0,1,2,0,1,41,2017,9,4,0,0,0,0,83.0,0,0
297,2,0,2,2,1,0,1,174,2018,8,13,1,0,0,0,99.45,1,0
298,2,1,2,1,2,0,1,27,2017,12,27,0,0,0,0,104.5,3,0
299,2,0,2,6,1,0,1,2,2018,11,16,1,0,0,0,92.54,2,0
300,1,0,0,3,1,0,1,37,2018,10,13,0,0,0,0,95.0,0,0
301,1,0,0,2,1,0,1,188,2018,6,15,1,0,0,0,130.0,0,1
302,2,0,2,1,1,0,1,68,2018,1,2,0,1,1,0,63.0,1,0
303,2,0,1,2,1,0,4,189,2018,10,28,1,0,0,0,109.8,0,1
304,2,0,1,0,1,0,1,10,2018,5,16,1,0,0,0,103.0,0,0
305,3,0,2,1,1,0,4,19,2018,2,20,1,0,0,0,130.0,1,0
306,2,0,0,2,1,0,1,61,2018,3,23,1,0,0,0,117.0,0,1
307,2,0,0,4,1,0,4,95,2017,12,29,0,0,0,0,60.5,0,0
308,2,0,0,1,2,0,1,83,2017,9,30,0,0,0,0,112.2,0,0
309,2,0,1,3,1,0,1,37,2018,8,1,1,0,0,0,135.9,0,1
310,2,0,1,0,1,0,1,19,2018,7,25,1,0,0,0,151.0,1,1
311,2,2,0,2,1,0,6,22,2018,9,16,1,0,0,0,239.0,2,0
312,2,0,2,1,1,0,1,22,2017,12,26,1,0,0,0,59.09,0,0
313,2,0,2,5,1,0,1,151,2018,7,9,1,0,0,0,103.09,0,1
314,2,0,2,1,1,0,1,26,2018,2,28,0,0,0,0,87.0,0,0
315,3,0,1,0,1,0,4,27,2018,4,17,1,0,0,0,137.0,0,1
316,2,0,0,2,2,0,1,79,2018,6,24,0,0,0,0,109.0,0,0
317,2,0,1,1,2,0,1,247,2018,6,6,1,0,0,0,115.0,1,1
318,2,0,2,3,1,0,4,189,2018,7,17,1,0,0,0,99.45,1,0
319,2,0,0,2,2,0,1,320,2018,8,18,1,0,0,0,115.0,1,1
320,3,0,1,2,1,0,4,27,2018,2,22,1,0,0,0,130.0,2,0
321,1,0,1,0,1,0,1,51,2018,5,22,2,1,0,3,65.0,0,0
322,2,0,0,2,1,0,1,245,2018,6,17,1,0,0,0,75.0,0,1
323,2,1,1,2,1,0,1,52,2018,7,8,1,0,0,0,132.9,0,1
324,1,0,2,0,1,0,1,13,2017,10,18,1,0,0,0,120.0,0,0
325,2,0,0,2,0,0,1,46,2018,11,11,1,0,0,0,79.2,1,1
326,3,0,2,1,1,0,4,84,2018,8,28,1,0,0,0,159.3,0,1
327,1,0,0,2,1,0,1,188,2018,6,15,1,0,0,0,130.0,0,1
328,2,0,0,3,1,0,1,19,2017,10,6,0,1,1,0,90.0,0,0
329,2,0,0,2,1,0,4,67,2018,5,27,1,0,0,0,140.4,1,0
330,2,0,0,1,1,0,1,0,2017,8,11,1,0,0,0,75.0,0,0
331,2,0,0,2,2,0,1,273,2017,7,17,1,0,0,0,109.0,0,1
332,2,0,2,1,2,0,1,110,2017,7,25,1,0,0,0,94.5,0,1
333,1,0,0,1,1,0,1,0,2017,12,15,2,1,0,1,75.0,0,0
